Year,Area,Street,Street 2,Strange HTML
2011,,Broad̴Street,Broad Street,Some &ndash; ndash
2011,,Broad̴Street,Broad Street,&euro;300
2011,,Broad̴Street̴Birmingham,Broad Street Birmingham,alcester&nbsp;road
2011,,Buckland̴End̴Lane̴Shard̴End,Buckland End Lane Shard End,&quot;That silly man&quot;
2011,," Bulls̴Head̴PH,̴St̴Marys̴Row"," Bulls Head PH, St Marys Row",&lt;html&gt;
2011,," Bushbury̴Road,̴Kitts̴Green"," Bushbury Road, Kitts Green",
2011,,Chartice̴Road,Chartice Road,
2011,,Chestnut̴Road,Chestnut Road,
2011,," church̴rd,̴stechford"," church rd, stechford",
2011,," Church̴Road,̴Sheldon"," Church Road, Sheldon",
2011,,Clifford̴RD̴Dorridge.,Clifford RD Dorridge.,
2011,,Clock̴Lane,Clock Lane,
2011,," Colonial̴road,̴Bordesley̴Green`"," Colonial road, Bordesley Green`",
2011,," Corporation̴St,Birmingham"," Corporation St,Birmingham",
2011,,corporation̴street,corporation street,
2011,,Coventry̴rd̴Small̴heath,Coventry rd Small heath,
2011,," COVENTRY̴RD,̴SMALL̴HEATH,̴BHAM"," COVENTRY RD, SMALL HEATH, BHAM",
2011,,Coventry̴Road,Coventry Road,
2011,,Coventry̴Road,Coventry Road,
2011,,Coventry̴Road,Coventry Road,
2011,,Coventry̴Road,Coventry Road,
2011,,Coventry̴Road,Coventry Road,
2011,," Coventry̴road,̴Small̴heath"," Coventry road, Small heath",
2011,," Coventry̴Road,̴Small̴Heath"," Coventry Road, Small Heath",
2011,," coventry̴road,small̴heath"," coventry road,small heath",
2011,,Cranes̴Park̴Road,Cranes Park Road,
2011,,Cranes̴Park̴Road̴Sheldon,Cranes Park Road Sheldon,
2011,,crossfield̴road,crossfield road,
2011,,Crossfields̴Road̴Kitts̴Green,Crossfields Road Kitts Green,
2011,," cxhurch̴rd,̴stechford,̴bham"," cxhurch rd, stechford, bham",
2011,,digbeth̴high̴street,digbeth high street,
2011,,Edgbaston̴road,Edgbaston road,
2011,,Edward̴Road.̴Moseley,Edward Road. Moseley,
2011,,Fighting̴Cox̴PH,Fighting Cox PH,
2011,," Foremans̴road,̴sparkhill"," Foremans road, sparkhill",
2011,," front̴office,̴kings̴heath"," front office, kings heath",
2011,," Garretts̴Green̴Road,̴Garretts̴Green"," Garretts Green Road, Garretts Green",
2011,,Giles̴Close,Giles Close,
2011,," GILES̴CLOSE,̴STECHFORD"," GILES CLOSE, STECHFORD",
2011,,glazedale̴road,glazedale road,
2011,,Gospel̴Farm̴Road,Gospel Farm Road,
2011,,Gospel̴Farm̴Road,Gospel Farm Road,
2011,,gospel̴lane,gospel lane,
2011,,gospel̴lane,gospel lane,
2011,,Gospel̴Lane,Gospel Lane,
2011,," Gospel̴lane,̴acocks̴green"," Gospel lane, acocks green",
2011,," Grace̴Church,̴Sutton̴Coldfield"," Grace Church, Sutton Coldfield",
2011,,Great̴Hampton̴Street,Great Hampton Street,
2011,,Green̴Lane,Green Lane,
2011,,Greswell̴lane̴Shard̴End,Greswell lane Shard End,
2011,," Harlequin̴drive,̴Mosley"," Harlequin drive, Mosley",
2011,,Haslucks̴Green̴Road,Haslucks Green Road,
2011,,Hazeldean̴Road,Hazeldean Road,
2011,,Heartlands̴Hospital,Heartlands Hospital,
2011,,Heartlands̴Hospital,Heartlands Hospital,
2011,,Heartlands̴Hospital̴A̴&̴E.,Heartlands Hospital A & E.,
2011,,Heartlands̴Hospital̴A̴&̴E.,Heartlands Hospital A & E.,
2011,,heartlands̴hospital̴A̴&̴E.,heartlands hospital A & E.,
2011,,Hepben̴Grove,Hepben Grove,
2011,,Herrick̴Road,Herrick Road,
2011,," Herrick̴Road,̴Washwood̴Heath"," Herrick Road, Washwood Heath",
2011,," Herrick̴Road,̴Washwood̴Heath"," Herrick Road, Washwood Heath",
2011,,High̴St̴Solihull,High St Solihull,
2011,,HIGH̴STREET̴KINGS̴HEATH,HIGH STREET KINGS HEATH,
2011,,High̴Street̴Kings̴Heath,High Street Kings Heath,
2011,," high̴street,̴kings̴heath"," high street, kings heath",
2011,,Hob̴Moor̴Road̴at̴Starbank̴Road,Hob Moor Road at Starbank Road,
2011,,Holloway̴head̴Bham̴City̴centre,Holloway head Bham City centre,
2011,,Hollywell̴Road,Hollywell Road,
2011,,home̴address,home address,
2011,,Home̴Address,Home Address,
2011,,Homer̴street,Homer street,
2011,,Hunters̴Moon̴Public̴house.,Hunters Moon Public house.,
2011,,Hurst̴Street,Hurst Street,
2011,,Hurst̴Street,Hurst Street,
2011,,Hurst̴Street,Hurst Street,
2011,," Hurst̴Street,̴Birmingham"," Hurst Street, Birmingham",
2011,,Kings̴Heath̴High̴Street,Kings Heath High Street,
2011,," KNOWLE̴RD,̴SMALL̴HEATH,̴BHAM"," KNOWLE RD, SMALL HEATH, BHAM",
2011,,ladypool̴Road,ladypool Road,
2011,,ladypool̴Road,ladypool Road,
2011,,Ladywell̴Walk,Ladywell Walk,
2011,,Lea̴Hall̴RD,Lea Hall RD,
2011,,Lea̴Hall̴rd,Lea Hall rd,
2011,," Lea̴Village,̴Stechford"," Lea Village, Stechford",
2011,," Lenches̴Close,̴Mosley"," Lenches Close, Mosley",
2011,,Lime̴Tree̴Road,Lime Tree Road,
2011,,Lode̴Lane̴@̴Hermitage̴Road,Lode Lane @ Hermitage Road,
2011,,Long̴street,Long street,
2011,,Long̴Street.̴Sparkhill,Long Street. Sparkhill,
2011,,Longbridge̴Lane,Longbridge Lane,
2011,," LONGMEADOW̴CRESCENT̴SHARD̴END̴,̴BHAM"," LONGMEADOW CRESCENT SHARD END , BHAM",
2011,,Maccadown̴Lane,Maccadown Lane,
2011,,masshouse̴lane,masshouse lane,
2011,,Meadwaym̴Stechford,Meadwaym Stechford,
2011,," Mickleover̴Road,̴Bromford"," Mickleover Road, Bromford",
2011,,moorcroft̴road,moorcroft road,
2011,,Moseley̴Road,Moseley Road,
2011,,moseley̴road,moseley road,
2011,,moseley̴road,moseley road,
2011,,moseley̴road,moseley road,
2011,,Moseley̴Village,Moseley Village,
2011,,Moseley̴Village,Moseley Village,
2011,," Moseley̴Village,̴Alcester̴road"," Moseley Village, Alcester road",
2011,," Mosley̴All̴Services̴Club,̴Church̴Road,̴Moseley."," Mosley All Services Club, Church Road, Moseley.",
2011,,Nearlands̴Close̴Quinton,Nearlands Close Quinton,
2011,,new̴street,new street,
2011,,Northfield̴High̴Street,Northfield High Street,
2011,," O/S̴BEHANS,̴HIGHFIELD̴ROAD,̴BILLESLEY"," O/S BEHANS, HIGHFIELD ROAD, BILLESLEY",
2011,," O/S̴The̴junction,̴Mosley̴Village"," O/S The junction, Mosley Village",
2011,,O/S̴Washwood̴Heath̴road,O/S Washwood Heath road,
2011,," Oakhill̴Road,̴Acocks̴Green"," Oakhill Road, Acocks Green",
2011,,Opp̴white̴hart̴lane̴cooks̴lane,Opp white hart lane cooks lane,
2011,," Opposite,̴ALDI,̴Stratford̴Road"," Opposite, ALDI, Stratford Road",
2011,,Outside̴Java̴lounge̴Alcester̴Road,Outside Java lounge Alcester Road,
2011,,Outside̴O2̴Academy̴Night̴Club̴B'ham̴City̴Centre,Outside O2 Academy Night Club B'ham City Centre,
2011,,outside̴raven̴public̴house,outside raven public house,
2011,," Packington̴Avenue,̴Shard̴End"," Packington Avenue, Shard End",
2011,,park̴off̴hob̴moor̴road,park off hob moor road,
2011,,Parkhall̴Croft,Parkhall Croft,
2011,,Pear̴Tree̴PH,Pear Tree PH,
2011,,Police̴station,Police station,
2011,,Police̴Station̴Stechford,Police Station Stechford,
2011,,poplar̴road,poplar road,
2011,,Poplar̴road,Poplar road,
2011,," poplar̴road̴,̴solihull"," poplar road , solihull",
2011,," poplar̴road,̴solihull"," poplar road, solihull",
2011,,Preston̴Road,Preston Road,
2011,," Priory̴Road,̴Hall̴Green"," Priory Road, Hall Green",
2011,,prospect̴road,prospect road,
2011,,queenswood̴road,queenswood road,
2011,," rear̴of̴boots,̴high̴street"," rear of boots, high street",
2011,," REDDINGS̴LANE,̴TSYLEY"," REDDINGS LANE, TSYLEY",
2011,," Richmond̴Primary̴Care̴Centre,̴Richmond̴Road,̴Stechford"," Richmond Primary Care Centre, Richmond Road, Stechford",
2011,," ring̴road,̴stourbridge"," ring road, stourbridge",
2011,," sainsburys,̴wawrick̴road"," sainsburys, wawrick road",
2011,,sainsburys.̴alcester̴road̴south,sainsburys. alcester road south,
2011,,Sandford̴Road̴Moseley,Sandford Road Moseley,
2011,,Sarehole̴Mill,Sarehole Mill,
2011,,Sedgemere̴Road,Sedgemere Road,
2011,,Shirley̴Road,Shirley Road,
2011,,SHirley̴Road,SHirley Road,
2011,,Snow̴Hill,Snow Hill,
2011,,Solihull̴Lane,Solihull Lane,
2011,," St̴Mary's̴Road,̴Moseley"," St Mary's Road, Moseley",
2011,,St̴Marys̴Row,St Marys Row,
2011,,station̴road,station road,
2011,," Station̴Way,̴Birmingham̴International̴rail̴Station"," Station Way, Birmingham International rail Station",
2011,,Stechford̴front̴office,Stechford front office,
2011,,Stechford̴P.S.,Stechford P.S.,
2011,,Stechford̴Retail̴Park.,Stechford Retail Park.,
2011,,Stonehenge̴croft̴Druids̴heath,Stonehenge croft Druids heath,
2011,,Stoney̴Lane,Stoney Lane,
2011,,Stoney̴Lane,Stoney Lane,
2011,,stoney̴lane,stoney lane,
2011,," STRATFORD̴HEATH,̴SPARK̴HILL,̴BIRMINGHAM"," STRATFORD HEATH, SPARK HILL, BIRMINGHAM",
2011,,stratford̴road,stratford road,
2011,,Stratford̴road,Stratford road,
2011,,Stratford̴Road,Stratford Road,
2011,," stratford̴road,̴hall̴green"," stratford road, hall green",
2011,,stratford̴roads,stratford roads,
2011,," Stuart̴Road,̴Stechford"," Stuart Road, Stechford",
2011,,talbort̴street,talbort street,
2011,,Taunton̴Road,Taunton Road,
2011,,Tavistock̴road,Tavistock road,
2011,,The̴avenue,The avenue,
2011,,The̴paer̴tree̴pub,The paer tree pub,
2011,,Trafalger̴Road,Trafalger Road,
2011,,Wake̴green̴Road,Wake green Road,
2011,,Ward̴End̴Road,Ward End Road,
2011,,Warwick̴Road,Warwick Road,
2011,,Warwick̴Road,Warwick Road,
2011,,Warwick̴Road,Warwick Road,
2011,,Warwick̴Road,Warwick Road,
2011,,Warwick̴Road,Warwick Road,
2011,,Warwick̴Road̴Tysley,Warwick Road Tysley,
2011,,Wash̴lane,Wash lane,
2011,,Washford̴Heath̴Road,Washford Heath Road,
2011,,Washwood̴Heath̴pub,Washwood Heath pub,
2011,," WASHWOOD̴HEATH̴RD,̴WASHWOOD̴HEATH,̴BHAM"," WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM",
2011,,Washwood̴Heath̴road,Washwood Heath road,
2011,,Washwood̴Heath̴Road,Washwood Heath Road,
2011,,Washwood̴Heath̴Road,Washwood Heath Road,
2011,,Washwood̴Heath̴Road,Washwood Heath Road,
2011,," Watery̴Lane̴Middleway,̴Birmingham"," Watery Lane Middleway, Birmingham",
2011,,wawrick̴road,wawrick road,
2011,," Welshfarm̴Road,̴Quinton"," Welshfarm Road, Quinton",
2011,,Westley̴Road,Westley Road,
2011,," Westley̴Road,̴Acocks̴Green"," Westley Road, Acocks Green",
2011,,White̴Hart̴Public̴House,White Hart Public House,
2011,,White̴Hart̴Public̴House,White Hart Public House,
2011,," Whiteheart̴pub,̴Gressell̴Lane"," Whiteheart pub, Gressell Lane",
2011,," William̴Hill̴Bookmakers,̴Washwood̴Heath̴Road"," William Hill Bookmakers, Washwood Heath Road",
2011,," William̴Hill̴Bookmakers,̴Washwood̴Heath̴Road"," William Hill Bookmakers, Washwood Heath Road",
2011,,William̴Hill̴Washwood̴Heath̴Road,William Hill Washwood Heath Road,
2011,,Windward̴Road,Windward Road,
2011,,Windward̴Road,Windward Road,
2011,," Wood̴End̴Road,̴Erdington"," Wood End Road, Erdington",
2011,," Woodbridge̴road,̴moseley"," Woodbridge road, moseley",
2011,,Wright̴Street,Wright Street,
2011,,yardley̴green̴road,yardley green road,
2011,,yardley̴road̴acocks̴green,yardley road acocks green,
2011,,Yardley̴Wood̴Road,Yardley Wood Road,
2011,,Yardley̴Wood̴Road,Yardley Wood Road,
2011,,Yew̴Tree̴car̴park,Yew Tree car park,
2011,,Yew̴Tree̴Lane,Yew Tree Lane,
2011,,Yew̴Tree̴public̴house̴car̴park.,Yew Tree public house car park.,
2011,," Armada̴Pub,̴Slade̴Road,̴Erdington,̴Birmingham"," Armada Pub, Slade Road, Erdington, Birmingham",
2011,," Armarda̴Pub,̴̴Gravelly̴Hill"," Armarda Pub,  Gravelly Hill",
2011,," Armarda̴Pub,̴Gravelly̴Hill"," Armarda Pub, Gravelly Hill",
2011,,BADGERS̴BANK̴ROAD,BADGERS BANK ROAD,
2011,," Baldmoor̴Lake̴Road,̴Erdington,̴Birmingham."," Baldmoor Lake Road, Erdington, Birmingham.",
2011,," bandywood̴Rd,̴kingstanding"," bandywood Rd, kingstanding",
2011,,Beckenham̴Road,Beckenham Road,
2011,,Beeches̴Walk,Beeches Walk,
2011,,BIRMINGHAM̴RD,BIRMINGHAM RD,
2011,,BIRMINGHAM̴RD,BIRMINGHAM RD,
2011,," Birmingham̴Rd,̴SC"," Birmingham Rd, SC",
2011,,Birmingham̴Road,Birmingham Road,
2011,,Birmingham̴Road,Birmingham Road,
2011,,birmingham̴road̴sutton,birmingham road sutton,
2011,," Birmingham̴Road,̴Erdington"," Birmingham Road, Erdington",
2011,," Birmingham̴Road,̴Sutton̴Coldfield"," Birmingham Road, Sutton Coldfield",
2011,," Birmingham̴Road,̴Sutton̴Coldfield"," Birmingham Road, Sutton Coldfield",
2011,,BOWLING̴GREEN̴CLOSE,BOWLING GREEN CLOSE,
2011,," Bracebridge̴Road,̴Erdington"," Bracebridge Road, Erdington",
2011,,brassington̴avenue,brassington avenue,
2011,,Bromford̴Lane,Bromford Lane,
2011,," Bromford̴Lane,̴Erdington,̴B'ham"," Bromford Lane, Erdington, B'ham",
2011,,Brookvale̴park̴Road,Brookvale park Road,
2011,," Carhampton̴Road,̴Falcon̴Lodge,̴Sutton̴Colfield"," Carhampton Road, Falcon Lodge, Sutton Colfield",
2011,,Carshalton̴Road,Carshalton Road,
2011,,carshorlton̴Road,carshorlton Road,
2011,,chester̴rd,chester rd,
2011,,CHESTER̴ROAD,CHESTER ROAD,
2011,," Chester̴Road,̴Halls̴garden̴Centre"," Chester Road, Halls garden Centre",
2011,,CHURCH̴RD̴AT̴CHESTER̴RD,CHURCH RD AT CHESTER RD,
2011,," College̴Road,̴Kingstanding,̴B'ham"," College Road, Kingstanding, B'ham",
2011,," College̴Road,̴Kingstanding,̴B'ham"," College Road, Kingstanding, B'ham",
2011,," Copshill̴Court,̴Mount̴View,̴Sutton̴Coldfield"," Copshill Court, Mount View, Sutton Coldfield",
2011,," Dovedale̴Road,̴Erdington,̴B'ham"," Dovedale Road, Erdington, B'ham",
2011,," Downside̴Road,̴Erdington,̴B'ham"," Downside Road, Erdington, B'ham",
2011,," Eachelhurt̴Road,̴Erdington"," Eachelhurt Road, Erdington",
2011,,ERDINGTON̴HALL̴ROAD,ERDINGTON HALL ROAD,
2011,,ERDINGTON̴HALL̴ROAD,ERDINGTON HALL ROAD,
2011,,Erdington̴High̴Street,Erdington High Street,
2011,," Fentham̴Road,̴Erdington,̴B'ham"," Fentham Road, Erdington, B'ham",
2011,,FINCHLEY̴ROAD,FINCHLEY ROAD,
2011,," Finchley̴Road,̴Kingstanding,̴B'ham"," Finchley Road, Kingstanding, B'ham",
2011,,GEORGE̴FREDERICK̴ROAD,GEORGE FREDERICK ROAD,
2011,,Golden̴Pond̴take̴away̴�����̴Boldmere̴Road,Golden Pond take away ����� Boldmere Road,
2011,,good̴hope̴hospital,good hope hospital,
2011,,Gracechurch̴Centre,Gracechurch Centre,
2011,," Gracechurch̴centre,̴outside̴Supercigs"," Gracechurch centre, outside Supercigs",
2011,," GraceChurch̴Shopping̴Centre,̴Sutton̴Coldfield"," GraceChurch Shopping Centre, Sutton Coldfield",
2011,," grassed̴area̴,̴pype̴hayes̴park...."," grassed area , pype hayes park....",
2011,,Gravelley̴lane,Gravelley lane,
2011,,Gravelley̴lane,Gravelley lane,
2011,,Gravelley̴lane,Gravelley lane,
2011,," Gravelly̴Lane,̴Erdington,̴Birmingham"," Gravelly Lane, Erdington, Birmingham",
2011,,hairy̴lemon̴pub̴.sutton̴coldfield,hairy lemon pub .sutton coldfield,
2011,,hairy̴lemon̴pub̴.sutton̴coldfield,hairy lemon pub .sutton coldfield,
2011,,Hermatige̴Road,Hermatige Road,
2011,,Hermatige̴Road,Hermatige Road,
2011,,HERMITAGE̴DRIVE,HERMITAGE DRIVE,
2011,,High̴Street,High Street,
2011,,high̴street̴erdington,high street erdington,
2011,," high̴street,̴erdington"," high street, erdington",
2011,," High̴Street,̴Erdington"," High Street, Erdington",
2011,," High̴Street,̴S/C"," High Street, S/C",
2011,," High̴Street,̴S/C"," High Street, S/C",
2011,,Hight̴St̴ErdINGTON,Hight St ErdINGTON,
2011,,HUNTON̴HILL,HUNTON HILL,
2011,," KFC̴retail̴outlet̴,̴Erdington̴High̴street"," KFC retail outlet , Erdington High street",
2011,," Kingsbury̴Road,̴Erdington,̴B'ham"," Kingsbury Road, Erdington, B'ham",
2011,,Kingstanding̴Circle,Kingstanding Circle,
2011,," Ladywell̴Walk,̴Birmingham"," Ladywell Walk, Birmingham",
2011,,Landsdown̴Road,Landsdown Road,
2011,," LICHFIELD̴ROAD,̴MERE̴GREEN"," LICHFIELD ROAD, MERE GREEN",
2011,," LICHFIELD̴ROAD,̴SUTTON̴COLDFIELD"," LICHFIELD ROAD, SUTTON COLDFIELD",
2011,," Lindridge̴Road,̴Sutton̴Coldfield"," Lindridge Road, Sutton Coldfield",
2011,,little̴aston̴lane,little aston lane,
2011,,LONGFORD̴ROAD,LONGFORD ROAD,
2011,," Longford̴Road,̴Kingstanding,̴B'ham"," Longford Road, Kingstanding, B'ham",
2011,,lower̴parade,lower parade,
2011,,LOWER̴PARADE,LOWER PARADE,
2011,,lower̴parade,lower parade,
2011,,lower̴parade,lower parade,
2011,,lower̴parade,lower parade,
2011,,lower̴parade,lower parade,
2011,,LOWER̴PARADE,LOWER PARADE,
2011,,Lower̴Parade,Lower Parade,
2011,,Lower̴Parade,Lower Parade,
2011,,LOWER̴PARADE,LOWER PARADE,
2011,,Lower̴Parade,Lower Parade,
2011,,LOWER̴PARADE,LOWER PARADE,
2011,,Lower̴Parade,Lower Parade,
2011,,LOWER̴PARADE,LOWER PARADE,
2011,,LOWER̴PARADE,LOWER PARADE,
2011,,Lower̴Parade,Lower Parade,
2011,,Lower̴Parade,Lower Parade,
2011,,Lower̴Parade,Lower Parade,
2011,,LOWER̴PARADE,LOWER PARADE,
2011,,lower̴parade̴SC,lower parade SC,
2011,,LOWER̴PARADE̴SUTTON,LOWER PARADE SUTTON,
2011,,Lower̴Parade̴Sutton̴Coldfield,Lower Parade Sutton Coldfield,
2011,," lower̴parade,"," lower parade,",
2011,," Lower̴parade,̴Suton̴Coldfield"," Lower parade, Suton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," lower̴parade,̴sutton̴coldfield"," lower parade, sutton coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield",
2011,," Lower̴Parade,̴Sutton̴Coldfield̴town̴centre"," Lower Parade, Sutton Coldfield town centre",
2011,," Lower̴Parade,̴Sutton̴Coldfield̴town̴Centre"," Lower Parade, Sutton Coldfield town Centre",
2011,," Lower̴Parade,̴Sutton̴Coldfield."," Lower Parade, Sutton Coldfield.",
2011,,lydham̴close,lydham close,
2011,,Mill̴Street,Mill Street,
2011,," Mill̴Street,̴Sutton̴Coldfield"," Mill Street, Sutton Coldfield",
2011,,moor̴hall̴hotel,moor hall hotel,
2011,," Mulberry̴Court̴Carpark,̴Kings̴Road,̴Kingstanding,̴Birmingham"," Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham",
2011,,newhall̴walk̴car̴park,newhall walk car park,
2011,,newhall̴walk̴car̴park,newhall walk car park,
2011,,O/S̴H/A,O/S H/A,
2011,,O/s̴Litten̴Tree,O/s Litten Tree,
2011,," O/S̴Litten̴Tree,̴S/C̴Town̴Centre"," O/S Litten Tree, S/C Town Centre",
2011,," O/S̴MooMoo̴Bar,̴S/c̴Town̴Centre"," O/S MooMoo Bar, S/c Town Centre",
2011,," o/s̴moomoo̴bar,̴South̴parade"," o/s moomoo bar, South parade",
2011,,o/s̴retro,o/s retro,
2011,," O/S̴Retro̴,̴South̴parade"," O/S Retro , South parade",
2011,,O/S̴Retros,O/S Retros,
2011,," O/S̴Royal̴Hotel,̴Lichfield̴Road"," O/S Royal Hotel, Lichfield Road",
2011,,o/s̴temple̴bar,o/s temple bar,
2011,,O/S̴Temple̴Bar,O/S Temple Bar,
2011,," O/S̴Temple̴Bar,̴High̴Street"," O/S Temple Bar, High Street",
2011,," O/s̴Temple̴Bar,̴Lower̴Parade̴Sutton̴Coldfield."," O/s Temple Bar, Lower Parade Sutton Coldfield.",
2011,," O/S̴Temple̴Bar,̴S/C̴Town̴Centre"," O/S Temple Bar, S/C Town Centre",
2011,," o/s̴temple̴bar,̴sutton̴coldfield,̴west̴milands"," o/s temple bar, sutton coldfield, west milands",
2011,,o/s̴the̴hairy̴lemon,o/s the hairy lemon,
2011,,On̴pavement̴outside̴The̴Royal̴Hotel,On pavement outside The Royal Hotel,
2011,," Ourtside̴Royal̴Pub,̴Lichfield̴Road,̴Sutton̴Coldfield"," Ourtside Royal Pub, Lichfield Road, Sutton Coldfield",
2011,," outside̴Glendale̴Tower,̴Lyndhurst̴Estate"," outside Glendale Tower, Lyndhurst Estate",
2011,," Outside̴Litten̴Tree̴pub,̴Birmingham̴Road,̴Sutton̴Coldfield`"," Outside Litten Tree pub, Birmingham Road, Sutton Coldfield`",
2011,," Outside̴Moo̴Moo̴Club,̴Town̴Centre,̴Sutton̴Coldfield"," Outside Moo Moo Club, Town Centre, Sutton Coldfield",
2011,," Outside̴Moo̴Moo̴night̴club,̴South̴Parade"," Outside Moo Moo night club, South Parade",
2011,," Outside̴Temple̴Parade,̴Lower̴Parade"," Outside Temple Parade, Lower Parade",
2011,," Outside̴the̴Temple̴Bar,̴Lower̴Parade,̴SC"," Outside the Temple Bar, Lower Parade, SC",
2011,,PARADE̴.̴SUTTON̴COLDFIELD,PARADE . SUTTON COLDFIELD,
2011,,parade̴SC,parade SC,
2011,,parade̴sutton̴coldfield,parade sutton coldfield,
2011,,parade̴sutton̴coldfield,parade sutton coldfield,
2011,,PARADE̴SUTTON̴COLDFIELD,PARADE SUTTON COLDFIELD,
2011,,parade̴sutton̴town,parade sutton town,
2011,," Parade,̴Sutton̴Coldfield"," Parade, Sutton Coldfield",
2011,," Parade,̴Sutton̴Coldfield"," Parade, Sutton Coldfield",
2011,," Parade,̴Sutton̴Town̴Centre"," Parade, Sutton Town Centre",
2011,," Parkeston̴Crescent,̴Kinsgatnding,̴B'ham"," Parkeston Crescent, Kinsgatnding, B'ham",
2011,,PLANTS̴GROVE̴ERDINGTON,PLANTS GROVE ERDINGTON,
2011,," Pype̴Hayes̴Road,̴Pype̴Hayes,̴B'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,," Pype̴Hayes̴Road,̴Pype̴Hayes,̴B'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,," Pype̴Hayes̴Road,̴Pype̴Hayes,̴B'ham"," Pype Hayes Road, Pype Hayes, B'ham",
2011,,queen̴street,queen street,
2011,,queen̴street,queen street,
2011,,queen̴street,queen street,
2011,,queen̴street,queen street,
2011,,Queen̴Street̴Sutton̴Coldfield̴Town̴centre,Queen Street Sutton Coldfield Town centre,
2011,,Queslett̴Road̴East,Queslett Road East,
2011,,REDACRE̴RD̴BOLDMERE,REDACRE RD BOLDMERE,
2011,,RESERVOIR̴ROAD,RESERVOIR ROAD,
2011,,Ridgeway,Ridgeway,
2011,," Slade̴Road,̴Erdington,̴B'ham"," Slade Road, Erdington, B'ham",
2011,," Slade̴Road,̴Erdington,̴B'ham"," Slade Road, Erdington, B'ham",
2011,," Soth̴parade,̴Sutton̴Coldfield"," Soth parade, Sutton Coldfield",
